,Food,Location,Week,Month,Amt_bought,Amt_Consumed,Wastage
106,Beans,Ike's,1,1,9.3,3.1,6.2
107,Parmesan cheese,Nue Vegan,12,3,1.6,0.6,1.0
108,Pork,Blaze pizza,5,2,9.6,6.7,2.9
109,Burger,Globe,6,2,8.7,6.1,2.6
110,Burger,Blaze pizza,11,3,1.2,0.8,0.4
111,Beans,Southside,4,1,1.2,0.6,0.6
112,Salad,Blaze pizza,4,1,3.0,2.3,0.7
113,Drumsticks,Nue Vegan,2,1,6.1,0.1,6.0
114,Drumsticks,Halal Guys,5,2,9.0,2.0,7.0
115,Drumsticks,Halal Guys,12,3,3.9,3.8,0.1
116,Salad,Blaze pizza,1,1,8.4,6.5,1.9
117,Tune,Flip kitchen,10,3,4.6,1.1,3.5
118,Burger,Nue Vegan,11,3,4.1,1.8,2.3
119,Drumsticks,Akino sushi,12,3,9.6,7.4,2.2
120,Pizza,Ike's,4,1,3.1,2.9,0.2
121,Burger,Flip kitchen,8,2,8.8,1.0,7.8
122,Burger,Flip kitchen,1,1,2.6,0.5,2.1
123,Burger,Southside,8,2,4.0,1.7,2.3
124,Parmesan cheese,Nue Vegan,1,1,9.9,4.8,5.1
125,Pizza,Halal Guys,11,3,5.0,2.1,2.9
126,Fries,Chick-fil-a,10,3,5.7,4.0,1.7
127,Fries,Blaze pizza,12,3,7.4,5.1,2.3
128,Beans,Flip kitchen,3,1,4.7,4.1,0.6
129,Beef,Southside,7,2,3.9,1.8,2.1
130,Parmesan cheese,Ike's,6,2,5.8,4.2,1.6
131,Salad,Nue Vegan,2,1,5.0,1.4,3.6
132,Beans,Ike's,1,1,9.1,4.7,4.4
133,Chicken,Chipotle,9,3,5.9,5.7,0.2
134,Beans,Halal Guys,11,3,5.4,0.6,4.8
135,Pork,Akino sushi,3,1,2.0,1.1,0.9
136,Salad,Akino sushi,8,2,1.4,1.3,0.1
137,Pork,Halal Guys,1,1,4.9,1.1,3.8
138,Salad,Blaze pizza,7,2,4.3,0.8,3.5
139,Beef,Blaze pizza,1,1,7.1,6.4,0.7
140,Salad,Nue Vegan,2,1,7.9,6.6,1.3
141,Pork,Blaze pizza,12,3,1.3,0.6,0.7
142,Chicken,Ike's,10,3,1.4,1.1,0.3
143,Parmesan cheese,Nue Vegan,11,3,6.2,0.8,5.4
144,Chicken,Chipotle,10,3,7.5,5.2,2.3
145,Drumsticks,Chipotle,5,2,2.4,0.8,1.6
146,Pork,Blaze pizza,12,3,1.1,0.2,0.9
147,Salad,Southside,9,3,9.5,6.0,3.5
148,Burger,Akino sushi,11,3,5.8,4.1,1.7
149,Beef,Chipotle,2,1,2.9,0.2,2.7
150,Salad,Globe,6,2,3.4,1.8,1.6
151,Drumsticks,Ike's,1,1,1.7,1.3,0.4
152,Pork,Halal Guys,8,2,9.3,7.8,1.5
153,Tune,Chipotle,12,3,1.0,0.9,0.1
154,Burger,Akino sushi,8,2,1.5,0.3,1.2
155,Beans,Halal Guys,3,1,5.5,0.4,5.1
156,Burger,Globe,3,1,1.1,0.6,0.5
157,Burger,Chick-fil-a,7,2,3.5,2.2,1.3
158,Drumsticks,Flip kitchen,6,2,3.2,0.8,2.4
159,Burger,Blaze pizza,6,2,1.0,0.4,0.6
160,Beans,Flip kitchen,2,1,2.7,1.0,1.7
161,Pizza,Chipotle,12,3,1.1,0.4,0.7
162,Drumsticks,Nue Vegan,11,3,2.7,0.3,2.4
163,Pizza,Chipotle,1,1,3.3,1.2,2.1
164,Pork,Ike's,11,3,8.2,3.7,4.5
165,Beans,Nue Vegan,2,1,5.2,2.2,3.0
166,Burger,Flip kitchen,4,1,1.6,0.3,1.3
167,Burger,Southside,6,2,9.5,3.1,6.4
168,Beef,Southside,7,2,4.8,1.1,3.7
169,Chicken,Ike's,9,3,9.5,8.2,1.3
170,Parmesan cheese,Flip kitchen,2,1,6.7,6.3,0.4
171,Parmesan cheese,Ike's,10,3,8.7,5.9,2.8
172,Beans,Chipotle,10,3,4.8,1.1,3.7
173,Pork,Ike's,2,1,6.2,2.2,4.0
174,Parmesan cheese,Ike's,10,3,5.5,1.5,4.0
175,Beans,Chick-fil-a,12,3,9.4,9.4,0.0
176,Beef,Ike's,8,2,2.2,2.1,0.1
177,Burger,Halal Guys,3,1,9.1,2.7,6.4
178,Salad,Globe,10,3,9.4,1.3,8.1
179,Beans,Akino sushi,3,1,6.8,4.4,2.4
180,Pizza,Akino sushi,4,1,6.0,5.4,0.6
181,Chicken,Southside,6,2,8.4,4.4,4.0
182,Pork,Nue Vegan,4,1,5.8,5.5,0.3
183,Parmesan cheese,Halal Guys,5,2,4.9,0.1,4.8
184,Chicken,Flip kitchen,5,2,3.7,0.1,3.6
185,Salad,Nue Vegan,7,2,8.3,2.8,5.5
186,Pizza,Flip kitchen,3,1,9.1,3.0,6.1
187,Pork,Chick-fil-a,7,2,8.1,3.2,4.9
188,Burger,Globe,11,3,9.1,3.2,5.9
189,Drumsticks,Akino sushi,12,3,4.0,3.8,0.2
190,Pork,Akino sushi,4,1,4.6,1.0,3.6
191,Burger,Globe,12,3,2.7,1.9,0.8
192,Beef,Blaze pizza,9,3,2.0,0.6,1.4
193,Salad,Halal Guys,11,3,3.0,1.1,1.9
194,Parmesan cheese,Southside,4,1,7.1,0.5,6.6
195,Beans,Nue Vegan,2,1,4.7,1.4,3.3
196,Tune,Chick-fil-a,10,3,7.0,1.8,5.2
197,Beans,Nue Vegan,3,1,9.0,2.0,7.0
198,Pizza,Flip kitchen,1,1,8.6,2.8,5.8
199,Burger,Halal Guys,10,3,2.2,1.4,0.8
200,Parmesan cheese,Akino sushi,11,3,9.9,7.5,2.4
201,Fries,Ike's,10,3,9.6,5.2,4.4
202,Beef,Nue Vegan,11,3,3.5,3.3,0.2
203,Beef,Halal Guys,8,2,5.6,3.3,2.3
204,Pork,Ike's,10,3,4.2,1.2,3.0
205,Beef,Southside,8,2,1.8,0.5,1.3
206,Tune,Akino sushi,2,1,4.5,3.1,1.4
207,Beef,Akino sushi,8,2,8.9,2.0,6.9
208,Pizza,Halal Guys,12,3,1.3,0.9,0.4
209,Fries,Akino sushi,5,2,1.2,0.3,0.9
210,Drumsticks,Blaze pizza,11,3,2.1,1.3,0.8
211,Pork,Chipotle,5,2,4.0,1.6,2.4
212,Beef,Ike's,9,3,5.3,4.6,0.7
213,Drumsticks,Blaze pizza,2,1,6.0,1.7,4.3
214,Fries,Southside,6,2,9.9,1.5,8.4
215,Burger,Ike's,11,3,5.0,1.0,4.0
216,Tune,Chick-fil-a,1,1,8.1,2.7,5.4
217,Salad,Ike's,4,1,3.1,0.2,2.9
218,Beans,Flip kitchen,1,1,3.8,0.0,3.8
219,Chicken,Akino sushi,5,2,8.2,6.9,1.3
220,Burger,Flip kitchen,4,1,1.4,1.1,0.3
221,Drumsticks,Flip kitchen,5,2,2.4,1.2,1.2
222,Pork,Chick-fil-a,8,2,7.8,5.9,1.9
223,Salad,Blaze pizza,9,3,2.3,1.5,0.8
224,Parmesan cheese,Nue Vegan,10,3,3.4,0.5,2.9
225,Chicken,Nue Vegan,11,3,4.8,3.1,1.7
226,Beef,Nue Vegan,2,1,8.0,4.7,3.3
227,Fries,Globe,3,1,3.5,1.9,1.6
228,Tune,Flip kitchen,1,1,9.7,7.3,2.4
229,Chicken,Globe,11,3,1.9,1.2,0.7
230,Salad,Ike's,5,2,2.5,2.4,0.1
231,Salad,Nue Vegan,10,3,9.2,9.0,0.2
232,Tune,Halal Guys,10,3,9.5,3.2,6.3
233,Parmesan cheese,Ike's,12,3,4.6,2.9,1.7
234,Burger,Flip kitchen,3,1,6.3,3.0,3.3
235,Parmesan cheese,Blaze pizza,1,1,4.6,1.7,2.9
236,Salad,Halal Guys,10,3,7.4,4.8,2.6
237,Tune,Akino sushi,2,1,6.3,2.3,4.0
238,Drumsticks,Globe,6,2,2.8,2.0,0.8
239,Pork,Chipotle,9,3,1.3,0.8,0.5
240,Pizza,Chipotle,4,1,3.1,2.7,0.4
241,Chicken,Akino sushi,6,2,1.1,0.9,0.2
242,Tune,Ike's,4,1,1.8,0.6,1.2
243,Pizza,Chick-fil-a,10,3,5.7,5.7,0.0
244,Salad,Akino sushi,6,2,8.2,6.1,2.1
245,Fries,Chipotle,6,2,1.5,1.4,0.1
246,Pizza,Flip kitchen,8,2,9.3,7.9,1.4
247,Parmesan cheese,Halal Guys,6,2,9.6,8.2,1.4
248,Parmesan cheese,Flip kitchen,12,3,2.0,1.8,0.2
249,Pork,Chipotle,7,2,3.4,1.8,1.6
250,Tune,Flip kitchen,7,2,8.6,2.5,6.1
251,Beans,Southside,9,3,8.9,7.2,1.7
252,Beans,Globe,2,1,4.9,3.3,1.6
253,Beef,Southside,2,1,7.2,1.9,5.3
254,Drumsticks,Halal Guys,2,1,2.3,2.2,0.1
255,Tune,Halal Guys,10,3,7.1,5.1,2.0
256,Parmesan cheese,Flip kitchen,6,2,6.1,3.8,2.3
257,Pork,Nue Vegan,6,2,5.3,3.9,1.4
258,Beef,Halal Guys,12,3,3.0,2.6,0.4
259,Beans,Akino sushi,7,2,4.7,2.1,2.6
260,Parmesan cheese,Nue Vegan,11,3,8.4,3.8,4.6
261,Tune,Chipotle,2,1,6.0,1.6,4.4
262,Drumsticks,Blaze pizza,7,2,6.6,5.3,1.3
263,Burger,Flip kitchen,12,3,5.6,1.4,4.2
264,Pizza,Globe,10,3,8.6,3.7,4.9
265,Parmesan cheese,Southside,7,2,8.1,6.8,1.3
266,Drumsticks,Nue Vegan,12,3,1.9,0.4,1.5
267,Parmesan cheese,Globe,7,2,1.6,1.6,0.0
268,Beans,Blaze pizza,6,2,5.5,1.1,4.4
269,Beans,Southside,11,3,8.0,0.5,7.5
270,Burger,Akino sushi,3,1,8.1,6.6,1.5
271,Drumsticks,Chick-fil-a,8,2,7.0,1.0,6.0
272,Beans,Flip kitchen,7,2,1.4,0.5,0.9
273,Fries,Globe,6,2,9.3,3.6,5.7
274,Salad,Akino sushi,2,1,1.3,0.8,0.5
275,Tune,Akino sushi,4,1,6.6,5.2,1.4
276,Drumsticks,Globe,11,3,1.7,0.7,1.0
277,Burger,Halal Guys,6,2,2.3,1.5,0.8
278,Beans,Chick-fil-a,3,1,1.8,1.3,0.5
279,Salad,Blaze pizza,3,1,5.1,4.1,1.0
280,Tune,Akino sushi,9,3,6.2,5.4,0.8
281,Fries,Akino sushi,12,3,7.4,2.6,4.8
282,Salad,Southside,1,1,6.5,2.8,3.7
283,Burger,Chick-fil-a,9,3,6.2,5.8,0.4
284,Fries,Chipotle,3,1,3.2,0.9,2.3
285,Salad,Chipotle,11,3,3.6,3.1,0.5
286,Parmesan cheese,Southside,12,3,9.5,6.5,3.0
287,Burger,Flip kitchen,8,2,5.4,5.3,0.1
288,Salad,Ike's,2,1,7.8,7.0,0.8
289,Chicken,Globe,4,1,5.3,3.5,1.8
290,Beef,Nue Vegan,7,2,3.4,0.7,2.7
291,Tune,Globe,3,1,7.2,1.1,6.1
292,Parmesan cheese,Chick-fil-a,2,1,5.7,0.7,5.0
293,Salad,Halal Guys,2,1,8.8,2.5,6.3
294,Salad,Flip kitchen,3,1,9.0,6.3,2.7
295,Chicken,Halal Guys,5,2,7.5,5.3,2.2
296,Pork,Akino sushi,2,1,9.3,4.1,5.2
297,Beans,Ike's,9,3,5.7,1.7,4.0
298,Salad,Chick-fil-a,4,1,2.5,0.7,1.8
299,Parmesan cheese,Ike's,11,3,9.3,0.5,8.8
300,Burger,Chick-fil-a,5,2,6.3,6.0,0.3
301,Burger,Blaze pizza,1,1,3.0,1.0,2.0
302,Tune,Globe,8,2,2.6,2.0,0.6
303,Chicken,Akino sushi,6,2,4.2,2.3,1.9
304,Drumsticks,Southside,11,3,7.5,6.6,0.9
305,Parmesan cheese,Akino sushi,9,3,2.2,0.9,1.3
306,Fries,Chick-fil-a,6,2,7.9,5.6,2.3
307,Salad,Blaze pizza,8,2,2.8,2.5,0.3
308,Chicken,Blaze pizza,8,2,6.8,0.5,6.3
309,Fries,Blaze pizza,2,1,6.1,0.3,5.8
310,Tune,Chipotle,2,1,9.8,1.5,8.3
311,Beans,Ike's,12,3,1.7,0.5,1.2
312,Fries,Flip kitchen,5,2,7.7,1.2,6.5
313,Drumsticks,Blaze pizza,2,1,8.8,2.3,6.5
314,Pizza,Blaze pizza,4,1,6.5,6.1,0.4
315,Pork,Chick-fil-a,5,2,4.3,1.6,2.7
316,Burger,Nue Vegan,2,1,3.9,1.0,2.9
317,Burger,Southside,4,1,5.1,5.1,0.0
318,Burger,Akino sushi,2,1,1.9,0.9,1.0
319,Beef,Halal Guys,11,3,8.8,4.3,4.5
320,Pork,Flip kitchen,12,3,6.7,3.4,3.3
321,Pizza,Halal Guys,8,2,9.6,4.2,5.4
322,Burger,Halal Guys,3,1,2.8,0.8,2.0
323,Fries,Globe,11,3,8.0,7.1,0.9
324,Beef,Globe,5,2,1.6,0.4,1.2
325,Beans,Globe,5,2,2.5,2.0,0.5
326,Beans,Nue Vegan,11,3,5.5,3.9,1.6
327,Chicken,Ike's,3,1,7.7,1.2,6.5
328,Chicken,Flip kitchen,9,3,8.4,1.3,7.1
329,Burger,Blaze pizza,3,1,8.2,5.5,2.7
330,Tune,Chick-fil-a,2,1,2.0,1.0,1.0
331,Drumsticks,Akino sushi,11,3,9.0,0.6,8.4
332,Chicken,Nue Vegan,1,1,8.5,2.8,5.7
333,Pork,Southside,1,1,3.7,3.4,0.3
334,Parmesan cheese,Globe,10,3,2.8,2.3,0.5
335,Pork,Nue Vegan,12,3,4.0,2.3,1.7
336,Salad,Nue Vegan,1,1,5.4,2.0,3.4
337,Pork,Nue Vegan,8,2,4.1,0.9,3.2
338,Parmesan cheese,Globe,7,2,7.4,6.7,0.7
339,Salad,Globe,3,1,1.7,1.2,0.5
340,Beans,Southside,1,1,5.7,3.7,2.0
341,Pork,Akino sushi,5,2,1.8,1.7,0.1
342,Pork,Halal Guys,9,3,4.5,1.6,2.9
343,Tune,Halal Guys,5,2,8.5,2.7,5.8
344,Beans,Akino sushi,3,1,4.1,0.7,3.4
345,Pizza,Ike's,2,1,4.2,3.8,0.4
346,Drumsticks,Globe,5,2,8.5,2.3,6.2
347,Beef,Blaze pizza,8,2,7.4,4.7,2.7
348,Pork,Ike's,11,3,8.8,6.4,2.4
349,Salad,Halal Guys,9,3,4.0,1.7,2.3
350,Salad,Chick-fil-a,5,2,9.1,1.1,8.0
351,Salad,Akino sushi,7,2,3.3,2.6,0.7
352,Pizza,Nue Vegan,2,1,6.5,2.0,4.5
353,Parmesan cheese,Blaze pizza,12,3,2.9,2.3,0.6
354,Pizza,Flip kitchen,11,3,7.9,7.1,0.8
355,Tune,Flip kitchen,8,2,3.0,0.7,2.3
356,Beans,Chick-fil-a,6,2,4.0,0.9,3.1
357,Burger,Flip kitchen,9,3,6.8,1.9,4.9
358,Pizza,Globe,12,3,9.5,6.5,3.0
359,Chicken,Ike's,2,1,8.5,7.5,1.0
360,Pork,Chick-fil-a,1,1,5.6,5.3,0.3
361,Tune,Flip kitchen,2,1,4.2,2.8,1.4
362,Drumsticks,Ike's,4,1,4.0,2.6,1.4
363,Beef,Blaze pizza,9,3,9.2,8.5,0.7
364,Chicken,Akino sushi,2,1,8.6,1.4,7.2
365,Beef,Chick-fil-a,11,3,7.7,3.3,4.4
366,Parmesan cheese,Nue Vegan,1,1,3.9,0.7,3.2
367,Burger,Blaze pizza,12,3,3.5,1.8,1.7
368,Pork,Blaze pizza,8,2,8.3,8.1,0.2
369,Drumsticks,Chick-fil-a,10,3,8.0,1.0,7.0
370,Beans,Southside,10,3,7.6,6.6,1.0
371,Pork,Southside,10,3,4.0,3.6,0.4
372,Beans,Southside,7,2,9.6,3.2,6.4
373,Drumsticks,Flip kitchen,9,3,7.4,2.9,4.5
374,Fries,Southside,6,2,9.5,0.6,8.9
375,Pizza,Flip kitchen,3,1,3.2,0.7,2.5
376,Pork,Southside,6,2,4.8,4.2,0.6
377,Parmesan cheese,Ike's,8,2,6.3,3.3,3.0
378,Burger,Nue Vegan,3,1,9.8,3.6,6.2
379,Pizza,Southside,8,2,6.7,6.3,0.4
380,Burger,Southside,3,1,4.7,1.6,3.1
381,Pizza,Akino sushi,5,2,2.4,0.2,2.2
382,Tune,Ike's,10,3,3.1,1.7,1.4
383,Tune,Southside,4,1,4.3,3.3,1.0
384,Drumsticks,Nue Vegan,2,1,6.1,0.5,5.6
385,Beef,Blaze pizza,8,2,1.4,1.0,0.4
386,Drumsticks,Flip kitchen,10,3,4.3,1.7,2.6
387,Tune,Globe,4,1,1.7,0.0,1.7
388,Beans,Flip kitchen,5,2,6.5,4.7,1.8
389,Tune,Flip kitchen,7,2,5.9,2.7,3.2
390,Beef,Southside,9,3,9.0,6.2,2.8
391,Burger,Southside,11,3,7.6,7.0,0.6
392,Chicken,Chick-fil-a,5,2,4.6,0.4,4.2
393,Fries,Nue Vegan,9,3,9.9,2.9,7.0
394,Parmesan cheese,Chipotle,1,1,1.9,0.6,1.3
395,Chicken,Nue Vegan,1,1,5.2,3.2,2.0
396,Beans,Akino sushi,4,1,9.0,8.2,0.8
397,Beef,Chick-fil-a,7,2,6.6,6.2,0.4
398,Tune,Flip kitchen,3,1,2.7,0.6,2.1
399,Beef,Blaze pizza,5,2,2.7,0.8,1.9
400,Pork,Akino sushi,1,1,7.1,0.4,6.7
401,Fries,Flip kitchen,10,3,6.7,1.4,5.3
402,Salad,Ike's,1,1,1.6,1.3,0.3
403,Tune,Ike's,3,1,5.8,2.5,3.3
404,Burger,Southside,2,1,7.4,4.9,2.5
405,Beef,Nue Vegan,4,1,4.5,1.0,3.5
406,Tune,Nue Vegan,1,1,3.8,3.7,0.1
407,Chicken,Nue Vegan,2,1,7.5,2.2,5.3
408,Tune,Blaze pizza,10,3,10.0,0.9,9.1
409,Beans,Ike's,3,1,4.9,2.0,2.9
410,Pork,Chipotle,5,2,8.9,3.9,5.0
411,Salad,Globe,2,1,5.0,3.2,1.8
412,Fries,Chipotle,3,1,7.9,1.5,6.4
413,Parmesan cheese,Blaze pizza,6,2,6.0,5.6,0.4
414,Parmesan cheese,Globe,8,2,6.5,4.5,2.0
415,Beef,Southside,7,2,9.7,6.0,3.7
416,Beans,Southside,3,1,6.4,5.7,0.7
417,Salad,Flip kitchen,8,2,8.0,2.3,5.7
418,Chicken,Nue Vegan,4,1,5.5,2.8,2.7
419,Beans,Southside,12,3,9.7,1.9,7.8
420,Drumsticks,Flip kitchen,3,1,2.3,0.5,1.8
421,Fries,Chipotle,3,1,9.9,0.9,9.0
422,Tune,Flip kitchen,2,1,8.0,5.6,2.4
423,Pork,Southside,10,3,6.7,2.5,4.2
424,Burger,Akino sushi,3,1,6.5,1.8,4.7
425,Chicken,Chick-fil-a,8,2,1.2,0.8,0.4
426,Tune,Halal Guys,6,2,2.8,2.6,0.2
427,Drumsticks,Flip kitchen,11,3,7.8,2.2,5.6
428,Beans,Ike's,11,3,3.4,1.7,1.7
429,Pork,Globe,5,2,7.9,1.6,6.3
430,Pizza,Chipotle,9,3,9.1,6.3,2.8
431,Pork,Ike's,5,2,6.1,0.7,5.4
432,Beef,Globe,5,2,9.1,6.5,2.6
433,Tune,Flip kitchen,1,1,9.0,7.3,1.7
434,Drumsticks,Chick-fil-a,3,1,8.7,1.9,6.8
435,Beans,Chipotle,4,1,5.5,2.6,2.9
436,Pork,Flip kitchen,10,3,3.4,1.6,1.8
437,Drumsticks,Ike's,7,2,3.7,2.7,1.0
438,Chicken,Halal Guys,7,2,7.1,6.8,0.3
439,Parmesan cheese,Halal Guys,9,3,8.2,3.6,4.6
440,Beef,Southside,10,3,9.6,7.8,1.8
441,Beans,Globe,4,1,6.2,2.8,3.4
442,Pizza,Chick-fil-a,8,2,7.1,2.2,4.9
443,Burger,Flip kitchen,8,2,7.9,5.9,2.0
444,Parmesan cheese,Chick-fil-a,6,2,2.0,1.4,0.6
445,Burger,Ike's,11,3,8.7,3.3,5.4
446,Drumsticks,Blaze pizza,6,2,5.6,0.9,4.7
447,Beans,Halal Guys,11,3,8.1,0.4,7.7
448,Drumsticks,Globe,11,3,2.5,2.2,0.3
449,Parmesan cheese,Globe,9,3,2.7,0.9,1.8
450,Beef,Chick-fil-a,6,2,1.1,0.1,1.0
451,Chicken,Chick-fil-a,6,2,4.4,0.4,4.0
452,Salad,Chipotle,8,2,3.9,3.8,0.1
453,Salad,Globe,11,3,10.0,2.2,7.8
454,Drumsticks,Globe,6,2,9.5,7.6,1.9
455,Drumsticks,Akino sushi,1,1,5.0,3.6,1.4
456,Chicken,Flip kitchen,4,1,1.0,0.2,0.8
457,Burger,Southside,12,3,6.4,1.5,4.9
458,Tune,Halal Guys,12,3,7.7,2.3,5.4
459,Chicken,Halal Guys,8,2,5.9,1.5,4.4
460,Pork,Chipotle,8,2,8.7,2.9,5.8
461,Pork,Globe,2,1,4.1,4.0,0.1
462,Chicken,Ike's,5,2,6.6,0.9,5.7
463,Pork,Chipotle,8,2,2.3,1.0,1.3
464,Beans,Flip kitchen,9,3,3.4,2.1,1.3
465,Pizza,Nue Vegan,2,1,1.1,0.9,0.2
466,Pork,Nue Vegan,7,2,1.5,1.0,0.5
467,Pizza,Ike's,7,2,3.7,0.8,2.9
468,Beef,Flip kitchen,1,1,6.9,2.4,4.5
469,Beef,Akino sushi,6,2,6.7,1.3,5.4
470,Parmesan cheese,Flip kitchen,7,2,2.9,2.4,0.5
